"id";"name";"abv";"breweryId";"beerstyleId"
"761";"Goudenband";"8.0";"287";"150"
"764";"The Chocolate Kiss";"11.0";"7778";"597"
"767";"Dark Horse Reserva";"7.0";"433";"706"
"770";"BXL FNK";"5.0";"5289";"237"
"773";"Barrel Project 18.12";"12.0";"188723";"153"
"776";"Luxe Thee Saison";"6.0";"146374";"153"
"779";"Cocoa Mapalm";"10.0";"170844";"15"
"782";"Australian Pale Ale";"5.0";"319787";"483"
"785";"Vintage Ale (2017)";"8.0";"3296";"261"
"788";"Siciliana";"5.0";"127";"243"
"791";"Vuur+Gloed";"8.0";"13707";"375"
"794";"Torpah 90";"6.0";"29477";"54"
"797";"Dark Humor Club (Heaven Hill Bourbon BA)";"10.0";"58973";"15"
"800";"Burg's Bakkie";"8.0";"27947";"168"
"803";"Rye Stick APA";"5.0";"167487";"234"
"806";"The Black IPA";"6.0";"56290";"105"
"809";"Pugliese";"5.0";"127";"135"
"812";"Torpah 60";"6.0";"29477";"54"
"815";"Barrel Project 18.08";"11.0";"188723";"156"
"818";"Rio Reserva Double Barrel Aged Bourbon + Rum (2012)";"10.0";"433";"597"
"821";"Jai JAI";"6.0";"2047";"36"
"824";"From Tallinn to Bodegraven";"10.0";"58973";"15"
"827";"Tactical Nuclear Penguin";"32.0";"241";"210"
"830";"Celeste";"5.0";"229795";"54"
"833";"Ebon Dark Ale";"9.0";"198992";"165"
"836";"Torpah 30";"6.0";"29477";"54"
"839";"Barrel Project 18.07";"11.0";"188723";"156"
"842";"Dark Humor Club - Hot Chocolate";"10.0";"58973";"15"
"845";"Luxe Cactus Ale";"6.0";"146374";"135"
"848";"Goudenband (2018)";"8.0";"287";"150"
"851";"Amber Jeneverbes";"7.0";"20634";"333"
"854";"Prior Dubbel";"8.0";"225309";"174"
"857";"Taras Boulba";"4.0";"176";"72"
"860";"Gorilla Café & Baunilha";"12.0";"308523";"3"
"863";"Coffee and Cigarettes";"12.0";"241";"15"
"866";"Paradise Weisse";"4.0";"146374";"679"
"869";"Mosaic Mammoth DDH (Fresh & Fast Edition)";"8.0";"32280";"760"
"872";"Berto's Early Breakfast IPA";"6.0";"145709";"36"
"875";"1325";"5.0";"78878";"234"
"878";"Kopergloed";"11.0";"250759";"138"
"881";"WOOZY";"8.0";"182609";"111"
"884";"Amarillo Armadillo";"9.0";"32280";"760"
"887";"Citra Summer Ale 2018";"4.0";"248337";"102"
"890";"Faro Girardin 1882";"5.0";"283";"348"
"893";"Beluga";"10.0";"66102";"3"
"896";"Pronck Witbier";"4.0";"184693";"742"
"899";"Cuvée du Owl Imperial Red";"15.0";"32280";"210"
"902";"Winter Gorilla";"7.0";"58973";"240"
"905";"Faça Amor, Não Mande Áudio";"8.0";"308523";"117"
"908";"Gouden Carolus Cuvée van de Keizer Imperial Blond (2015)";"10.0";"284";"126"
"911";"Basterd Dubbel";"7.0";"229838";"174"
"914";"Beelzebub";"8.0";"1244";"15"
"917";"Viven Bruin";"6.0";"28007";"351"
"920";"Harvest Moon";"6.0";"329711";"54"
"923";"South 2018";"2.0";"106897";"745"
"926";"Meneer de Uil - Auchentoshan";"12.0";"32280";"15"
"929";"Rosé de Gambrinus (2018)";"5.0";"202";"198"
"932";"Sjekladebol";"6.0";"190702";"450"
"935";"Melonrise";"7.0";"308523";"36"
"938";"Klaproos";"5.0";"250759";"147"
"941";"Beer Geek Cocoa Shake";"12.0";"2813";"345"
"944";"Bink Grand Cru / Winterkoninkske Grand Cru - American Oak Finish (2017)";"13.0";"286";"165"
"947";"Green Phantasms";"7.0";"94785";"36"
"950";"Churchill";"11.0";"106897";"15"
"953";"Gueuze 100% Lambic Bio (2018)";"5.0";"202";"12"
"956";"Meneer de Uil - Glen Garioch";"12.0";"32280";"15"
"959";"Schoolmelk - Passionfruit";"6.0";"283162";"60"
"962";"Bossche Beul";"7.0";"190702";"45"
"965";"Préaris Quadrupel";"10.0";"53539";"78"
"968";"Oude Lambiek";"6.0";"4934";"408"
"971";"Caramel Fudge Stout (Woodford Barrel Aged)";"11.0";"188723";"15"
"974";"Fridge Life";"7.0";"13156";"36"
"977";"Double Black Mash (2017)";"12.0";"1950";"30"
"980";"Wacholder";"8.0";"198824";"144"
"983";"Tynt Meadow";"7.0";"397470";"183"
"986";"Motorolie Wedzone Sliwki";"12.0";"269726";"3"
"989";"Kutbier";"6.0";"190702";"72"
"992";"Kriek Brut";"6.0";"287";"135"
"995";"Hangen & Wurgen";"15.0";"3367";"210"
"998";"Mariënrode Quadrupel 12";"12.0";"60131";"78"
"1001";"BEANZ";"7.0";"182609";"111"
"1004";"BrewDog VS Fierce: Very Big Moose";"12.0";"241";"15"
"1007";"Yeah Yeah Yeah";"6.0";"13156";"132"
"1010";"Jarrylo + Mosaic";"8.0";"94785";"117"
